fields,supports,top100,top200,diff
cit2018 <= 35720.00 AND intCol2016 <= 66.15 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
cit2017 <= 75794.50 AND pub2017 <= 3859.00 AND intCol2016 <= 66.75,"['0.06', '0.45']",0.06,0.45,-0.39
cit2017 <= 75794.50 AND pub2017 > 3859.00 AND pubPA2018 <= 1.17,"['0.25', '0.45']",0.25,0.45,-0.2
cit2016 <= 107650.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
citPA2016 <= 14.79 AND pubTJP2018 <= 42.85 AND intCol2017 > 36.90,"['0.06', '0.45']",0.06,0.45,-0.39
h5Index <= 172.50 AND pub2017 > 4222.50 AND pubTJP2017 <= 47.65,"['0.41', '0.45']",0.41,0.45,-0.040000000000000036
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
cit2016 <= 107650.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
cit2016 <= 107650.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
cit2017 <= 75794.50 AND citPA2017 <= 12.36 AND cit2016 > 49470.50,"['0.25', '0.45']",0.25,0.45,-0.2
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
cit2018 <= 35720.00 AND intCol2018 <= 67.70 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
cit2016 <= 107650.00 AND citPA2017 <= 9.83 AND pub2018 <= 5229.50,"['0.06', '0.45']",0.06,0.45,-0.39
cit2018 <= 35720.00 AND intCol2018 <= 67.70 AND cit2016 > 49470.50,"['0.32', '0.45']",0.32,0.45,-0.13
pubTJP2018 > 38.70 AND cit2017 <= 76606.00 AND intCol2016 <= 66.15,"['0.31', '0.45']",0.31,0.45,-0.14
cit2018 <= 35720.00 AND intCol2016 <= 66.15 AND cit2017 <= 33695.50,"['0.08', '0.45']",0.08,0.45,-0.37
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85 AND pub2016 <= 4458.00,"['0.05', '0.45']",0.05,0.45,-0.4
cit2016 <= 107650.00 AND intCol2016 <= 66.15 AND pub2017 <= 3859.00,"['0.06', '0.45']",0.06,0.45,-0.39
cit2016 <= 107650.00 AND acaCol2017 <= 8.35 AND pub2016 <= 3802.50,"['0.09', '0.45']",0.09,0.45,-0.36
